job_id,title,role_category,seniority,company,company_tier,industry,location,remote_type,is_remote,salary_min,salary_max,salary_midpoint,skills,num_skills_required,yoe_min,yoe_max,education_required,visa_sponsorship,benefits,description_snippet,source,date_posted,days_since_posted,growth_trend,company_size_tier,scraped_at
13f5806b-65c,Entry Level Data Scientist,Data Scientist,Entry Level,Netflix,FAANG+,Healthcare/BioTech,"New York, NY",Remote,True,172000,217000,200000,Airflow|scikit-learn|Statistics|Snowflake|A/B Testing,5,2,4,No Degree Required,No,Learning Budget|Remote Work Stipend|Stock Options / RSUs|401k Match|Mental Health Benefits|Health Insurance,"We are looking for a Entry Level Data Scientist to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Airflow, scikit-learn, Statistics, Snowflake, A/B Testing. This is a Remote position. We offer competitive compensation and a collaborative work environment.",Levels.fyi,2026-01-26,55,stable,FAANG+,2026-03-22T19:50:30
78cff134-97f,Entry Level Data Engineer,Data Engineer,Entry Level,StreamBase,Startup,AI/ML Platform,"New York, NY",Remote,True,127000,164000,140000,Airflow|GCP|Spark|Snowflake|Kafka|dbt|Python,7,0,1,Bachelor's Degree,No,Learning Budget|Free Meals|Unlimited PTO|Gym Membership,"We are looking for a Entry Level Data Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Airflow, GCP, Spark, Snowflake, Kafka, dbt. This is a Remote position. We offer competitive compensation and a collaborative work environment.",LinkedIn,2026-03-07,15,high,Startup,2026-03-22T19:50:30
8adb0555-2aa,AI/LLM Engineer,AI/LLM Engineer,Mid Level,Hugging Face,Scale-up,Logistics/Supply Chain,"New York, NY",Remote,True,,,385000,Weaviate|GCP|RAG|OpenAI API|Python,5,3,6,Bachelor's Degree,No,Mental Health Benefits|Stock Options / RSUs|Remote Work Stipend|401k Match|Parental Leave|Free Meals,"We are looking for a Mid Level AI/LLM Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Weaviate, GCP, RAG, OpenAI API, Python. This is a Remote position. We offer competitive compensation and a collaborative work environment.",Glassdoor,2026-01-12,69,explosive,Scale-up,2026-03-22T19:50:30
ead2409b-d38,Data Scientist,Data Scientist,Mid Level,SAP,Enterprise,Logistics/Supply Chain,"Austin, TX",On-site,False,90000,120000,105000,SQL|GCP|scikit-learn|Statistics|A/B Testing|R|Python,7,4,7,Bachelor's Degree,Yes,Remote Work Stipend|Gym Membership|Stock Options / RSUs,"We are looking for a Mid Level Data Scientist to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in SQL, GCP, scikit-learn, Statistics, A/B Testing, R. This is a On-site position. We offer competitive compensation and a collaborative work environment.",LinkedIn,2026-03-09,13,stable,Enterprise,2026-03-22T19:50:30
89392bd5-14e,Entry Level Data Platform Engineer,Data Platform Engineer,Entry Level,Scale AI,Scale-up,Logistics/Supply Chain,"Chicago, IL",Remote,True,,,140000,Docker|Azure|Spark|Kafka|Helm|Python,6,0,1,Bachelor's Degree,Yes,401k Match|Gym Membership|Stock Options / RSUs|Free Meals|Learning Budget|Unlimited PTO,"We are looking for a Entry Level Data Platform Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Docker, Azure, Spark, Kafka, Helm, Python. This is a Remote position. We offer competitive compensation and a collaborative work environment.",Indeed,2026-03-13,9,high,Scale-up,2026-03-22T19:50:30
6dfa8807-97e,Staff/Lead Data Analyst,Data Analyst,Staff/Lead,VectorSearch Co,Startup,FinTech,"New York, NY",Remote,True,,,175000,Looker|Excel|Tableau|Redshift|Power BI|Google Sheets|BigQuery|dbt|Python,9,9,10,Bachelor's Degree,Yes,Health Insurance|Unlimited PTO|401k Match,"We are looking for a Staff/Lead Data Analyst to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Looker, Excel, Tableau, Redshift, Power BI, Google Sheets. This is a Remote position. We offer competitive compensation and a collaborative work environment.",Glassdoor,2026-02-21,29,stable,Startup,2026-03-22T19:50:30
75300493-ca1,Entry Level Machine Learning Engineer,Machine Learning Engineer,Entry Level,Airbyte,Scale-up,Logistics/Supply Chain,"New York, NY",On-site,False,151000,181000,170000,AWS SageMaker|Docker|MLflow|PyTorch|TensorFlow|scikit-learn|Kubernetes|Databricks|Python,9,1,2,Bachelor's Degree,No,Stock Options / RSUs|Remote Work Stipend|Mental Health Benefits|401k Match|Health Insurance|Unlimited PTO,"We are looking for a Entry Level Machine Learning Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in AWS SageMaker, Docker, MLflow, PyTorch, TensorFlow, scikit-learn. This is a On-site position. We offer competitive compensation and a collaborative work environment.",LinkedIn,2026-03-13,9,very_high,Scale-up,2026-03-22T19:50:30
32568239-80c,Staff/Lead Data Engineer,Data Engineer,Staff/Lead,HubSpot,Mid-market,EdTech,"San Francisco, CA",Remote,True,279000,335000,310000,SQL|Airflow|Spark|Snowflake|Kafka|dbt|Python,7,10,13,PhD Preferred,No,Stock Options / RSUs|Unlimited PTO|Remote Work Stipend|401k Match|Health Insurance|Mental Health Benefits,"We are looking for a Staff/Lead Data Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in SQL, Airflow, Spark, Snowflake, Kafka, dbt. This is a Remote position. We offer competitive compensation and a collaborative work environment.",Company Website,2025-12-07,105,high,Mid-market,2026-03-22T19:50:30
0a1d5708-ef4,Senior Data Scientist,Data Scientist,Senior,Anthropic,FAANG+,Healthcare/BioTech,"Chicago, IL",Remote,True,291000,401000,340000,SQL|scikit-learn|Statistics|Jupyter|A/B Testing|R|Python,7,7,8,Bachelor's Degree,Yes,Remote Work Stipend|Mental Health Benefits|Learning Budget|Parental Leave,"We are looking for a Senior Data Scientist to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in SQL, scikit-learn, Statistics, Jupyter, A/B Testing, R. This is a Remote position. We offer competitive compensation and a collaborative work environment.",LinkedIn,2026-02-14,36,stable,FAANG+,2026-03-22T19:50:30
e3f1559f-73e,Machine Learning Engineer,Machine Learning Engineer,Mid Level,Twilio,Mid-market,InsurTech,"San Francisco, CA",Hybrid,False,,,345000,AWS SageMaker|Docker|MLflow|PyTorch|TensorFlow|scikit-learn|Git|Python,8,3,5,No Degree Required,No,Remote Work Stipend|Unlimited PTO|Learning Budget|401k Match|Mental Health Benefits,"We are looking for a Mid Level Machine Learning Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in AWS SageMaker, Docker, MLflow, PyTorch, TensorFlow, scikit-learn. This is a Hybrid position. We offer competitive compensation and a collaborative work environment.",Glassdoor,2026-03-18,4,very_high,Mid-market,2026-03-22T19:50:30
6b7e1059-9a8,Entry Level Machine Learning Engineer,Machine Learning Engineer,Entry Level,Anyscale,Scale-up,AdTech/MarTech,"Boston, MA",Remote,True,149000,204000,175000,AWS SageMaker|MLflow|GCP Vertex AI|TensorFlow|scikit-learn|Kubernetes|Python,7,2,3,Master's Preferred,No,Parental Leave|Stock Options / RSUs|Health Insurance|Gym Membership,"We are looking for a Entry Level Machine Learning Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in AWS SageMaker, MLflow, GCP Vertex AI, TensorFlow, scikit-learn, Kubernetes. This is a Remote position. We offer competitive compensation and a collaborative work environment.",LinkedIn,2026-02-24,26,very_high,Scale-up,2026-03-22T19:50:30
4887231e-c8a,Data Analyst,Data Analyst,Mid Level,Databricks,Scale-up,Cybersecurity,"Seattle, WA",Hybrid,False,152000,205000,175000,SQL|Excel|Redshift|Power BI|BigQuery|Google Sheets|Snowflake|Python,8,2,4,Master's Preferred,Yes,Learning Budget|Remote Work Stipend|Unlimited PTO|401k Match|Health Insurance|Parental Leave,"We are looking for a Mid Level Data Analyst to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in SQL, Excel, Redshift, Power BI, BigQuery, Google Sheets. This is a Hybrid position. We offer competitive compensation and a collaborative work environment.",Glassdoor,2026-01-13,68,stable,Scale-up,2026-03-22T19:50:30
