job_id,skill,role_category,seniority,salary_midpoint,remote_type,company_tier,date_posted,is_high_growth_role
bf658671-b58,Scikit-Learn,Data Scientist,Entry Level,200000.0,Remote,FAANG+,2026-01-26,False
bf658671-b58,Statistics,Data Scientist,Entry Level,200000.0,Remote,FAANG+,2026-01-26,False
bf658671-b58,Airflow,Data Scientist,Entry Level,200000.0,Remote,FAANG+,2026-01-26,False
bf658671-b58,B Testing,Data Scientist,Entry Level,200000.0,Remote,FAANG+,2026-01-26,False
bf658671-b58,Snowflake,Data Scientist,Entry Level,200000.0,Remote,FAANG+,2026-01-26,False
5547140d-1da,Dbt,Data Engineer,Entry Level,140000.0,Remote,Startup,2026-03-07,True
5547140d-1da,Python,Data Engineer,Entry Level,140000.0,Remote,Startup,2026-03-07,True
5547140d-1da,Kafka,Data Engineer,Entry Level,140000.0,Remote,Startup,2026-03-07,True
5547140d-1da,Airflow,Data Engineer,Entry Level,140000.0,Remote,Startup,2026-03-07,True
5547140d-1da,Spark,Data Engineer,Entry Level,140000.0,Remote,Startup,2026-03-07,True
5547140d-1da,Snowflake,Data Engineer,Entry Level,140000.0,Remote,Startup,2026-03-07,True
5547140d-1da,GCP,Data Engineer,Entry Level,140000.0,Remote,Startup,2026-03-07,True
389d4d83-49f,RAG,AI/LLM Engineer,Mid Level,385000.0,Remote,Scale-up,2026-01-12,True
389d4d83-49f,Python,AI/LLM Engineer,Mid Level,385000.0,Remote,Scale-up,2026-01-12,True
389d4d83-49f,Openai Api,AI/LLM Engineer,Mid Level,385000.0,Remote,Scale-up,2026-01-12,True
389d4d83-49f,Weaviate,AI/LLM Engineer,Mid Level,385000.0,Remote,Scale-up,2026-01-12,True
389d4d83-49f,GCP,AI/LLM Engineer,Mid Level,385000.0,Remote,Scale-up,2026-01-12,True
1e4dbe3a-038,Scikit-Learn,Data Scientist,Mid Level,105000.0,On-site,Enterprise,2026-03-09,False
1e4dbe3a-038,Statistics,Data Scientist,Mid Level,105000.0,On-site,Enterprise,2026-03-09,False
1e4dbe3a-038,Python,Data Scientist,Mid Level,105000.0,On-site,Enterprise,2026-03-09,False
1e4dbe3a-038,B Testing,Data Scientist,Mid Level,105000.0,On-site,Enterprise,2026-03-09,False
1e4dbe3a-038,Sql,Data Scientist,Mid Level,105000.0,On-site,Enterprise,2026-03-09,False
1e4dbe3a-038,GCP,Data Scientist,Mid Level,105000.0,On-site,Enterprise,2026-03-09,False
4b5f7fe8-eb3,Azure,Data Platform Engineer,Entry Level,140000.0,Remote,Scale-up,2026-03-13,True
4b5f7fe8-eb3,Python,Data Platform Engineer,Entry Level,140000.0,Remote,Scale-up,2026-03-13,True
4b5f7fe8-eb3,Kafka,Data Platform Engineer,Entry Level,140000.0,Remote,Scale-up,2026-03-13,True
4b5f7fe8-eb3,Helm,Data Platform Engineer,Entry Level,140000.0,Remote,Scale-up,2026-03-13,True
4b5f7fe8-eb3,Docker,Data Platform Engineer,Entry Level,140000.0,Remote,Scale-up,2026-03-13,True
4b5f7fe8-eb3,Spark,Data Platform Engineer,Entry Level,140000.0,Remote,Scale-up,2026-03-13,True
2df9cd86-111,Google Sheets,Data Analyst,Staff/Lead,175000.0,Remote,Startup,2026-02-21,False
2df9cd86-111,Dbt,Data Analyst,Staff/Lead,175000.0,Remote,Startup,2026-02-21,False
2df9cd86-111,Looker,Data Analyst,Staff/Lead,175000.0,Remote,Startup,2026-02-21,False
2df9cd86-111,Python,Data Analyst,Staff/Lead,175000.0,Remote,Startup,2026-02-21,False
2df9cd86-111,Bigquery,Data Analyst,Staff/Lead,175000.0,Remote,Startup,2026-02-21,False
2df9cd86-111,Tableau,Data Analyst,Staff/Lead,175000.0,Remote,Startup,2026-02-21,False
2df9cd86-111,Redshift,Data Analyst,Staff/Lead,175000.0,Remote,Startup,2026-02-21,False
2df9cd86-111,Power Bi,Data Analyst,Staff/Lead,175000.0,Remote,Startup,2026-02-21,False
2df9cd86-111,Excel,Data Analyst,Staff/Lead,175000.0,Remote,Startup,2026-02-21,False
3f36c4b4-bb8,Mlflow,Machine Learning Engineer,Entry Level,170000.0,On-site,Scale-up,2026-03-13,True
3f36c4b4-bb8,Kubernetes,Machine Learning Engineer,Entry Level,170000.0,On-site,Scale-up,2026-03-13,True
